TABLE_NAME                     COUNT(COLUMN_NAME)                               
TG_CELL_SPECIFIC_GRAVITY                        5                               
TG_CLAIM                                       93                               
TG_CLAIMED_ITEM                                21                               
TG_CLAIMED_ITEM_CLAIM_ATTRIBU                   3                               
TG_CLAIM_ALARM_CODES                            3                               
TG_CLAIM_ATTACHMENTS                            3                               
TG_CLAIM_ATTRIBUTES                            12                               
TG_CLAIM_AUDIT                                 21                               
TG_CLAIM_CLAIMED_ITEMS                          3                               
TG_CLAIM_NUMBER_PATTERN                        16                               
TG_CLAIM_RECOVERY_CLAIMS                        3                               
TG_CLAIM_RULE_FAILURES                          3                               
TG_CLAIM_USER_PROCESS_COMMENT                   3                               
TG_COMPENSATION_TERM                           14                               
TG_COMPETITION_TYPE                            13                               
TG_COMPETITOR_MAKE                             13                               
TG_COMPETITOR_MODEL                            13                               
TG_COMPLAINT                                   33                               
TG_CONFIG_PARAM                                20                               
TG_CONFIG_PARAM_OPTION                          5                               
TG_CONFIG_PARAM_OPTIONS_MAPPI                   5                               
TG_CONFIG_VALUE                                15                               
TG_CONSUMER                                    14                               
TG_CONTRACT                                    29                               
TG_CONTRACT_APPLICABILITY_TER                   3                               
TG_CONTRACT_COMPENSATION_TERM                   3                               
TG_CONTRACT_COVERAGE_CONDITIO                   3                               
TG_CONTRACT_ITEMS_COVERED                       3                               
TG_COSTCAT_APPL_PRODUCTS                        3                               
TG_COST_CATEGORY                               14                               
TG_COST_LINE_ITEM                              20                               
TG_COUNTRY                                     13                               
TG_COUNTRY_STATE                               14                               
TG_COVERAGE_CONDITION                          13                               
TG_CREDIT_MEMO                                 25                               
TG_CRITERIA_BASED_VALUE                        16                               
TG_CRITERIA_EVALUATION_PRECED                  13                               
TG_CURRENCY_CONVERSION_FACTOR                  15                               
TG_CURRENCY_EXCHANGE_RATE                       6                               
TG_CURRENT_PART_INFO                            3                               
TG_CUSTOMER                                     8                               
TG_CUSTOMER_ADDRESSES                           3                               
TG_CUSTOMER_ASSOCIATED_ORGS                     3                               
TG_CUSTOMER_ROLES                               3                               
TG_CUSTOMER_STAGING                            25                               
TG_CUSTOM_REPORT                               14                               
TG_CUSTOM_REPORT_ANSWER                        14                               
TG_CUSTOM_REPORT_ANSWERS                        3                               
TG_CUSTOM_REPORT_APPLICABLE_P                   3                               
TG_CUSTOM_REPORT_INSTRUCTIONS                  12                               
TG_CUST_REPORT_APP_PART                        15                               
TG_DCAP_CLAIM                                  18                               
TG_DCAP_CLAIM_AUDIT                            19                               
TG_DCAP_DETAIL_HISTORY                         13                               
TG_DCAP_DLRGRP_RDUSERGRP                        3                               
TG_DEALERSHIP                                  16                               
TG_DEALERS_IN_GROUP                             3                               
TG_DEALER_CATEGORY                              3                               
TG_DEALER_CATEGORY_DEALERSHIP                   3                               
TG_DEALER_GROUP                                21                               
TG_DEALER_SCHEME                               13                               
TG_DEALER_SCHEME_PURPOSES                       3                               
TG_DEFAULT_FOLDER_VIEW                          6                               
TG_DIRECT_CUSTOMER                              4                               
TG_DISCHARGE                                   14                               
TG_DISCHARGE_TEST                              16                               
TG_DIVISION_BU_MAPPING                         15                               
TG_DOCUMENT                                    23                               
TG_DOMAIN_PREDICATE                            16                               
TG_DOMAIN_PRED_REFERS_TO_PRED                   3                               
TG_DOMAIN_RULE                                 21                               
TG_DOMAIN_RULE_ACTION                          14                               
TG_DOMAIN_RULE_AUDIT                           20                               
TG_DOMAIN_RULE_GROUP                           21                               
TG_EVAL_PRECEDENCE_PROPERTIES                   5                               
TG_EVENT_ROLE_MAPPING                           3                               
TG_EVENT_STATE                                 13                               
TG_EXTENDED_WARRANTY_NOTIFICA                  20                               
TG_FAILED_RULE                                  6                               
TG_FAILURE_CAUSE                               13                               
